,Rank,Name,Classification,Released games,Unreleased games,Total revenue,Avg revenue per game,Med revenue per game,HQ country,% developed in-house,% indie releases,Action,Casual,Adventure,Simulation,Strategy,RPG,MMO,Racing,Sports
205,206,"PopCap Games, Inc.",Indie,32,0,41800000.0,1300000.0,44.957,United States,23%,0%,3%,97%,0%,0%,13%,0%,0%,0%,0%
206,207,Serenity Forge,Indie,22,1,39700000.0,1800000.0,268000.0,United States,4%,91%,30%,17%,65%,17%,9%,52%,0%,0%,0%
207,208,"NIS America, Inc.",Indie,61,2,39600000.0,649000.0,272000.0,United States,0%,3%,35%,0%,37%,2%,25%,70%,0%,0%,0%
208,209,Chromatic Games,Indie,4,1,38600000.0,9600000.0,3300000.0,United States,5%,80%,100%,0%,40%,0%,60%,100%,0%,0%,0%
209,210,Planetary Annihilation Inc,Indie,2,0,38500000.0,19200000.0,19000000.0,United States,2%,50%,50%,0%,0%,0%,100%,0%,0%,0%,0%
210,211,RocketWerkz,Indie,4,1,38400000.0,9600000.0,2300000.0,New Zealand,4%,80%,80%,0%,20%,60%,60%,0%,0%,0%,0%
211,212,Shochiku (Japan),Indie,1,0,38300000.0,38300000.0,38300000.0,Japan,0%,100%,0%,0%,100%,100%,0%,100%,0%,0%,0%
212,213,CE-Asia(Asia),Indie,1,0,38200000.0,38200000.0,38200000.0,China,0%,0%,100%,0%,100%,0%,0%,100%,0%,0%,0%
213,214,Creepy Jar,Indie,1,1,37600000.0,37600000.0,37600000.0,Poland,2%,100%,100%,0%,100%,100%,0%,0%,0%,0%,0%
214,215,Croteam,Indie,5,0,37500000.0,7500000.0,1800000.0,Croatia,2%,100%,100%,0%,20%,0%,0%,0%,0%,0%,0%
215,216,Running With Scissors,Indie,6,0,37500000.0,6200000.0,5400000.0,United States,4%,50%,100%,0%,33%,0%,0%,0%,0%,0%,0%
216,217,Panic,AA,6,4,36700000.0,6100000.0,1600000.0,United States,0%,80%,20%,40%,60%,10%,10%,0%,0%,0%,10%
217,218,Joey Drew Studios,Indie,4,2,36700000.0,9200000.0,8100000.0,United States,5%,83%,100%,33%,100%,0%,33%,17%,0%,0%,0%
218,219,D3Publisher,Indie,31,0,36700000.0,1200000.0,141000.0,United States,1%,6%,55%,13%,39%,3%,0%,13%,0%,0%,0%
219,220,ProjectMoon,Indie,3,0,36600000.0,12200000.0,18300000.0,South Korea,3%,67%,33%,0%,0%,33%,67%,67%,0%,0%,0%
220,221,Egosoft,Indie,10,0,36500000.0,3700000.0,481000.0,Germany,10%,0%,60%,0%,0%,80%,70%,0%,0%,0%,0%
221,222,Kagura Games,Indie,173,18,36200000.0,209000.0,60.555,United States,0%,80%,9%,12%,38%,6%,1%,95%,0%,0%,0%
222,223,Kitfox Games,Indie,12,3,35700000.0,3000000.0,670000.0,Canada,6%,67%,7%,13%,27%,67%,47%,60%,0%,0%,0%
223,224,2PGames,Indie,49,23,35400000.0,723000.0,62.312,Hong Kong,0%,86%,28%,22%,65%,31%,40%,57%,0%,0%,0%
224,225,Kasedo Games,Indie,15,3,35400000.0,2400000.0,318000.0,United Kingdom,0%,67%,22%,17%,17%,44%,78%,17%,0%,0%,0%
225,226,"OMOCAT, LLC",Indie,1,0,34500000.0,34500000.0,34500000.0,United States,1%,100%,0%,0%,100%,0%,0%,100%,0%,0%,0%
226,227,Knights Peak,Indie,5,1,34400000.0,6900000.0,2100000.0,Netherlands,0%,33%,83%,0%,67%,0%,17%,33%,0%,0%,0%
227,228,Versus Evil,Indie,30,0,33900000.0,1100000.0,221000.0,United States,0%,87%,53%,10%,47%,3%,37%,47%,3%,0%,0%
228,229,Shining Rock Software LLC,Indie,1,0,33800000.0,33800000.0,33800000.0,United States,1%,100%,0%,0%,0%,100%,100%,0%,0%,0%,0%
229,230,RedCandleGames,Indie,3,0,33600000.0,11200000.0,12100000.0,China,3%,100%,33%,0%,100%,0%,0%,0%,0%,0%,0%
230,231,Telltale,Indie,17,0,33100000.0,1900000.0,315000.0,United States,16%,0%,29%,41%,94%,0%,0%,41%,0%,0%,0%
231,232,Ninja Theory,Indie,4,0,33000000.0,8300000.000000001,1100000.0,United Kingdom,4%,50%,100%,0%,50%,0%,0%,0%,0%,0%,0%
232,233,Clever Endeavour Games,Indie,1,1,33000000.0,33000000.0,33000000.0,Canada,2%,100%,100%,100%,0%,0%,0%,0%,0%,50%,0%
233,234,Lo-Fi Games,AA,1,0,32799999.999999996,32799999.999999996,32799999.999999996,United Kingdom,1%,100%,100%,0%,0%,100%,100%,100%,0%,0%,0%
234,235,Duoyi Games,Indie,1,0,32600000.0,32600000.0,32600000.0,China,1%,100%,100%,0%,100%,0%,0%,100%,0%,0%,0%
235,236,Edmund McMillen,Indie,5,1,32500000.0,6500000.0,1500000.0,United States,5%,100%,33%,17%,83%,17%,33%,33%,0%,0%,0%
236,237,Nolla Games,Indie,1,0,31400000.0,31400000.0,31400000.0,Finland,1%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
237,238,Slightly Mad Studios,Indie,2,0,31200000.0,15600000.0,0,United Kingdom,2%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%
238,239,Siege Camp,Indie,2,1,30900000.0,15400000.0,15400000.0,Canada,3%,67%,67%,0%,0%,0%,67%,33%,67%,0%,0%
239,240,Maximum Entertainment,Indie,44,4,30600000.0,696000.0,152000.0,Sweden,4%,71%,63%,31%,56%,19%,10%,23%,0%,4%,4%
240,241,Gun Media,AA,1,0,30300000.0,30300000.0,0,United States,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
241,242,Robot Entertainment.,Indie,8,0,30200000.0,3800000.0,8400000.0,United States,7%,75%,75%,0%,25%,0%,88%,25%,0%,0%,0%
242,243,Degica,Indie,22,0,30000000.0,1400000.0,188000.0,Japan,4%,9%,9%,9%,27%,9%,0%,5%,0%,0%,0%
243,244,Marvelous Europe,Indie,21,5,29900000.0,1400000.0,611000.0,United Kingdom,0%,15%,54%,23%,23%,38%,4%,46%,0%,0%,0%
244,245,Iceberg Interactive,Indie,63,6,29800000.0,472000.0,158000.0,Netherlands,0%,86%,32%,20%,51%,28%,35%,12%,0%,1%,3%
245,246,Nexon,Indie,7,3,29500000.0,4200000.0,14800000.0,Japan,4%,0%,100%,20%,30%,10%,20%,40%,30%,0%,0%
246,247,Beat Games,AA,1,0,29500000.0,29500000.0,29500000.0,Czech Republic,1%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
247,248,Maddy Makes Games Inc.,Indie,2,0,29500000.0,14700000.0,14700000.0,Canada,2%,100%,100%,0%,50%,0%,0%,0%,0%,0%,0%
248,249,Scott Cawthon,Indie,9,0,29400000.0,3300000.0,5100000.0,United States,9%,89%,56%,0%,11%,44%,11%,22%,0%,0%,0%
249,250,Another Axiom Inc.,Indie,1,0,29300000.0,29300000.0,29300000.0,United States,1%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%
250,251,Secret Mode,Indie,19,1,28800000.0,1500000.0,362000.0,United Kingdom,0%,55%,30%,50%,50%,25%,10%,5%,5%,20%,0%
251,252,"Thekla, Inc.",Indie,2,0,28600000.0,14300000.0,14300000.0,United States,2%,100%,50%,0%,100%,0%,0%,0%,0%,0%,0%
252,253,Subset Games,Indie,2,0,28600000.0,14300000.0,14300000.0,United States,2%,100%,0%,0%,0%,100%,100%,50%,0%,0%,0%
253,254,Telltale Games,Indie,19,0,28500000.0,1500000.0,0,United States,19%,0%,5%,11%,74%,0%,0%,0%,0%,0%,5%
254,255,Source Technology,Indie,1,0,28400000.0,28400000.0,28400000.0,China,0%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%
255,256,Pine Studio,Indie,2,4,28200000.0,14100000.0,14100000.0,Croatia,6%,83%,33%,83%,100%,83%,0%,33%,0%,0%,0%
256,257,北京网元圣唐娱乐科技有限公司,Indie,5,0,28100000.0,5600000.0,2700000.0,China,0%,0%,20%,0%,20%,0%,0%,100%,20%,0%,0%
257,258,Geometa,Indie,1,0,28100000.0,28100000.0,28100000.0,United Kingdom,1%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
258,259,Amanita Design,Indie,9,1,28000000.0,3100000.0,1500000.0,Czech Republic,10%,100%,0%,80%,100%,0%,0%,0%,0%,0%,0%
259,260,Galactic Cafe,Indie,2,0,27700000.0,13800000.0,27700000.0,United Kingdom,2%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%
